StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,in_synchronous_network,p_set_before_scaling
451 hydro,Braskereidfoss 3,hydro,6626,48.5325,177831.093925293,0.305980528511822,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,15.7801486165016,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,48.5325
453 hydro,Brattset 4,hydro,6865,119.2,177831.093925293,13.09,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,83.7129998122076,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,119.2
454 hydro,Brulandsfoss 5,hydro,6647,18.625,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,13.0801562206574,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,18.625
455 hydro,Eidesfossen 3,hydro,6675,4.428,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,0.0
456 hydro,Byrkjelo 3,hydro,6857,19.7723,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,13.8858938438499,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,19.7723
457 hydro,Byrte 4,hydro,6711,21.6,177831.093925293,2019.54,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,16.0554772901509,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,21.6
458 hydro,Daja 4,hydro,7008,33.0,177831.093925293,3658.53666666667,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,21.4530585625593,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,33.0
459 hydro,Mydalen 3,hydro,6723,7.56,177831.093925293,4221.25714285714,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,5.61941705155282,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,7.56
460 hydro,Dalvatn 4,hydro,6683,38.232,177831.093925293,350.720338983051,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,28.4181948035671,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,38.232
461 hydro,Dividalen 5,hydro,7019,28.6,177831.093925293,3251.58076923077,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,18.592650754218,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,28.6
462 hydro,Djupa 4,hydro,6724,14.73724,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,10.2913523449823,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,14.73724
463 hydro,Dokka 3,hydro,6718,60.21,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,19.5770411208894,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,60.21
464 hydro,Dovikfoss 5,hydro,6732,20.25,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,6.58420665500763,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,20.25
465 hydro,Dynjanfoss 2,hydro,6372,35.64,177831.093925293,1275.0696969697,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,26.491537528749,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,35.64
466 hydro,Berlifoss 3,hydro,6372,10.26,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,7.62635171282169,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,10.26
467 hydro,Berild 3,hydro,6860,23.691,177831.093925293,106.450943396226,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,16.6379587126763,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,23.691
468 hydro,Bergerfoss 5,hydro,6719,4.455,177831.093925293,1609.63636363636,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,0.0
469 hydro,Begna 6,hydro,6719,7.56,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,2.45810381786952,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,7.56
470 hydro,Ulefoss 6,hydro,6728,15.336,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,11.3993888760072,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,15.336
